"","Gene","HV","meth","value"
"225","AT5G45210","non-hv","CHH",0.297379151654628
"226","AT5G45210","non-hv","CHG",0.24998741568509
"227","AT5G45230","non-hv","CHH",0.504337529032131
"228","AT5G45230","non-hv","CHG",0.486988171029673
"229","AT5G45250","non-hv","CHH",0.27403725050058
"230","AT5G45250","non-hv","CHG",0.231502074994722
"231","AT5G45260","non-hv","CHH",0.245231829188615
"232","AT5G45260","non-hv","CHG",0.293131068917241
"233","AT5G46260","non-hv","CHH",0.339743200884863
"234","AT5G46260","non-hv","CHG",0.504287020613551
"235","AT5G46270","non-hv","CHH",0.340023562516562
"236","AT5G46270","non-hv","CHG",0.313251776240603
"237","AT5G46450","non-hv","CHH",0.263395146387244
"238","AT5G46450","non-hv","CHG",0.374780578475613
"239","AT5G46510","hv","CHH",0.235414990279021
"240","AT5G46510","hv","CHG",0.598136055326843
"241","AT5G46520","hv","CHH",0.343427466285563
"242","AT5G46520","hv","CHG",0.349401801607684
"243","AT5G47250","non-hv","CHH",0.21286531367401
"244","AT5G47250","non-hv","CHG",0.301499852960892
"245","AT5G47260","non-hv","CHH",17.2095575682601
"246","AT5G47260","non-hv","CHG",49.1796042996222
"247","AT5G47280","non-hv","CHH",12.9590497462338
"248","AT5G47280","non-hv","CHG",41.8922146666823
"249","AT5G48620","hv","CHH",0.42053502157316
"250","AT5G48620","hv","CHG",0.470926458504492
"251","AT5G48770","non-hv","CHH",0.3560579135792
"252","AT5G48770","non-hv","CHG",0.388888080463391
"253","AT5G49140","non-hv","CHH",0.262561746030666
"254","AT5G49140","non-hv","CHG",0.410446340614962
"255","AT5G51630","non-hv","CHH",0.423502846293794
"256","AT5G51630","non-hv","CHG",0.235454572281545
"257","AT5G58120","non-hv","CHH",0.221591378803743
"258","AT5G58120","non-hv","CHG",0.206233986755629
"259","AT5G63020","non-hv","CHH",0.29893556434127
"260","AT5G63020","non-hv","CHG",0.29044527877726
"261","AT5G66900","non-hv","CHH",0.217963615103973
"262","AT5G66900","non-hv","CHG",0.207969921566413
"263","AT5G66910","non-hv","CHH",0.167647927580548
"264","AT5G66910","non-hv","CHG",0.179165104361955
